Family;Genus;Species;SVL;Mass
Lamprophiidae;Pararhadinaea;melanogaster;251.7;2.9
Lamprophiidae;Psammophis;aegyptius;1005;197.9
Lamprophiidae;Psammophis;brevirostris;964.5;119.05
Lamprophiidae;Psammophis;jallae;914.5;62.05
Lamprophiidae;Psammophis;leopardinus;1016.5;145.15
Lamprophiidae;Psammophis;mossambicus;1109.5;213.95
Lamprophiidae;Psammophis;namibensis;830.5;50.35
Lamprophiidae;Psammophis;notostictus;706.5;29.8
Lamprophiidae;Psammophis;schokari;938.4;86.6
Lamprophiidae;Psammophis;subtaeniatus;924;68.15
Lamprophiidae;Psammophis;trigrammus;1018;51.25
Lamprophiidae;Psammophis;trinasalis;748;41.6
Lamprophiidae;Psammophylax;tritaeniatus;515;29.3
Lamprophiidae;Pseudaspis;cana;1150;492.9
Lamprophiidae;Rhagerhis;moilensis;310.2;8.07
Lamprophiidae;Xenocalamus;bicolor;518.5;27
Lamprophiidae;Xenocalamus;mechowii;631;23.5
Pythonidae;Antaresia;maculosa;1259;530
Pythonidae;Antaresia;perthensis;769;339
Pythonidae;Aspidites;melanocephalus;1310;1362
Pythonidae;Aspidites;ramsayi;1950;3900
Pythonidae;Broghammerus;reticulatus;3522.52;11769.35
Pythonidae;Liasis;fuscus;1490;953
Pythonidae;Liasis;olivaceus;2400;3305
Pythonidae;Morelia;spilota;1683.8;1924.4
Pythonidae;Morelia;viridis;1210;563.2
Pythonidae;Python;bivittatus;3220;21750
Pythonidae;Python;regius;1216;1378
Pythonidae;zoological;garden;;
Pythonidae;Python;sebae;3735;13250
Scolecophidia;Austrotyphlops;australis;328;48
Scolecophidia;Austrotyphlops;bituberculatus;247.6;3.4
Scolecophidia;Epictia;albipuncta;156;1.4
Scolecophidia;Epictia;tenella;177.7;1.2
Scolecophidia;Liotyphlops;ternetzii;211;3
Scolecophidia;Myriopholis;macrorhyncha;254.9;1.4
Scolecophidia;Ramphotyphlops;bicolor;241.3;10.4
Scolecophidia;Ramphotyphlops;polygrammicus;510;43.3
Scolecophidia;Rhinotyphlops;simonii;201.1;0.95
Scolecophidia;Siagonodon;septemstriatus;165;1.5
Scolecophidia;Tetracheilostoma;breuili;106.8;0.61
Scolecophidia;Tetracheilostoma;carlae;99.4;0.6
Scolecophidia;Trilepida;fuliginosa;226.85;4.6
Scolecophidia;Trilepida;macrolepis;305.5;9.5
Scolecophidia;Typhlops;minuisquamus;272.6;16.5
Scolecophidia;Typhlops;reticulatus;255.9;22
Scolecophidia;Typhlops;tasymicris;227;1.9
Scolecophidia;Typhlops;vermicularis;191.5;2.2
Viperidae;Agkistrodon;piscivorus;1060;861
Viperidae;Atheris;squamigera;570;44.5
Viperidae;Bitis;arietans;927;743.3
Viperidae;Bitis;caudalis;327.75;24.1
Viperidae;Bitis;cornuta;360;32.65
Viperidae;Bitis;gabonica;1053;4023.7
Viperidae;Bitis;peringueyi;242.5;8.6
Viperidae;Bothriechis;schlegelii;650;102
Viperidae;Bothriopsis;bilineata;468;185
Viperidae;Bothropoides;neuwiedi;473;43
Viperidae;Bothrops;moojeni;719;217
Viperidae;Causus;defilippii;338;21.6
Viperidae;Causus;resimus;576;53.13
Viperidae;Causus;rhombeatus;685;94.8
Viperidae;Cerastes;cerastes;590.2;186.6
Viperidae;Cerastes;gasperettii;603.9;144.3
Viperidae;Cerastes;vipera;239.4;9.9
Viperidae;Crotalus;atrox;1230;1000
Viperidae;Crotalus;cerastes;496.5;114.87
Viperidae;Crotalus;durissus;1461.5;2440.5
Viperidae;Crotalus;oreganus;1044.5;502.6
Viperidae;Crotalus;ruber;1060;285
Viperidae;Crotalus;triseriatus;222;4.41
Viperidae;Crotalus;viridis;850;415
Viperidae;Daboia;palaestinae;984;437.6
Viperidae;Daboia;russelii;1070;675
Viperidae;Echis;carinatus;516.25;113.7
Viperidae;Echis;coloratus;658.6;92.8
Viperidae;Echis;pyramidum;510.3;76.6
Viperidae;Eristicophis;macmahoni;595;125
Viperidae;Gloydius;blomhoffii;482;63.7
Viperidae;Gloydius;himalayanus;511;75.7
Viperidae;Macrovipera;deserti;800;244.2
Viperidae;Macrovipera;lebetina;871.2;380
Viperidae;Macrovipera;mauritanica;1260;855
Viperidae;Montivipera;bornmuelleri;705.3;192.7
Viperidae;Montivipera;latifii;621.5;103.9
Viperidae;Montivipera;raddei;853.75;255.5
Viperidae;Montivipera;xanthina;1027.5;351.3
Viperidae;Ovophis;zayuensis;530.5;72
Viperidae;Protobothrops;jerdonii;752.7;166.5
Viperidae;Pseudocerastes;fieldi;687.5;185.2
Viperidae;Pseudocerastes;persicus;715;215.3
Viperidae;Rhinocerophis;alternatus;900;229.6
Viperidae;Rhinocerophis;itapetiningae;343;38
Viperidae;Vipera;ammodytes;682;210.9
Viperidae;Vipera;aspis;605;85.2
Viperidae;Vipera;berus;567.7;74.5
Viperidae;Vipera;kaznakovi;551;52.1
Viperidae;Vipera;latastei;550;87
Viperidae;Vipera;ursinii;450;65
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
