Family;Genus;Species;SVL;Mass
Colubridae;Rhabdophis;tigrinus;786.1;189.3
Colubridae;Rhachidelus;brazili;786;561
Colubridae;Rhinobothryum;lentiginosum;919;89.5
Colubridae;Rhynchocalamus;melanocephalus;340;10
Colubridae;Seminatrix;pygaea;224;9
Colubridae;Sibon;nebulatus;372;13.9
Colubridae;Sibynomorphus;mikanii;270;12
Colubridae;Simophis;rhinostoma;449;32
Colubridae;Spalerosophis;diadema;854.6;211.2
Colubridae;Spilotes;pullatus;1404;552.5
Colubridae;Stegonotus;cucullatus;1040;298
Colubridae;Storeria;dekayi;229.8;4.7
Colubridae;Storeria;occipitomaculata;230.5;7.3
Colubridae;Tachymenis;peruviana;346;29.2
Colubridae;Tantilla;coronata;188.5;2.5
Colubridae;Tantilla;gracilis;133.8;1.6
Colubridae;Tantilla;melanocephala;228;7
Colubridae;Telescopus;dhara;731;82
Colubridae;Telescopus;fallax;488;33.2
Colubridae;Telescopus;hoogstraali;658.3;74.6
Colubridae;Telescopus;semiannulatus;400;9.5
Colubridae;Thamnodynastes;hypoconia;317.7;20.4
Colubridae;Thamnodynastes;pallidus;585;53
Colubridae;Thamnodynastes;rutilus;275;21
Colubridae;Thamnophis;butleri;381;24.8
Colubridae;Thamnophis;couchii;510.6;61
Colubridae;Thamnophis;marcianus;521;90
Colubridae;Thamnophis;proximus;635.3;58.9
Colubridae;Thamnophis;radix;435.6;50.9
Colubridae;Thamnophis;scalaris;395;42
Colubridae;Thamnophis;sirtalis;549.4;104.2
Colubridae;Thelotornis;capensis;701.5;78.8
Colubridae;Thelotornis;kirtlandii;877;69
Colubridae;Trimorphodon;biscutatus;823;84.3
Colubridae;Tropidonophis;mairii;644.5;119.1
Colubridae;Virginia;striatula;183;3.3
Colubridae;Virginia;valeriae;232.7;7.2
Colubridae;Xenochrophis;flavipunctatus;667.5;250.7
Colubridae;Xenochrophis;piscator;555;131.6
Colubridae;Xenodon;merremi;615.3;201.8
Colubridae;Xenodon;nattereri;245;14
Colubridae;Xenopholis;scalaris;254.9;8.8
Colubridae;Xenopholis;undulatus;268;10
Colubridae;Xenoxybelis;argenteus;660;25
Colubridae;Zamenis;longissimus;645;199
Elapidae;Aspidelaps;scutatus;391.5;75.7
Elapidae;Bungarus;ceylonicus;770;47.7
Elapidae;Bungarus;flaviceps;825;90.3
Elapidae;Demansia;vestigiata;610.7;60.8
Elapidae;Dendroaspis;angusticeps;1245;282.4
Elapidae;Dendroaspis;polylepis;1410;651.7
Elapidae;Enhydrina;schistosa;792.9;314.23
Elapidae;Hoplocephalus;bungaroides;685;71
Elapidae;Hoplocephalus;stephensii;621;84
Elapidae;Lapemis;curtus;508.6;147.1
Elapidae;Laticauda;colubrina;921;355
Elapidae;Micrurus;frontalis;650;80
Elapidae;Micrurus;ibiboboca;643.5;48.5
Elapidae;Micrurus;lemniscatus;679;38.5
Elapidae;Naja;annulifera;858.1;391.2
Elapidae;Naja;atra;1000.7;311.1
Elapidae;Naja;mossambica;586.2;171.3
Elapidae;Naja;naja;1570;1497.5
Elapidae;Naja;nigricollis;1010;256.7
Elapidae;Notechis;scutatus;1258;835.5
Elapidae;Simoselaps;bertholdi;203.4;7.6
Elapidae;Simoselaps;bimaculatus;306.5;8.9
Elapidae;Simoselaps;calonotus;214.8;5
Elapidae;Simoselaps;fasciolatus;241.4;9.3
Elapidae;Simoselaps;semifasciatus;261.2;12.7
Elapidae;Walterinnesia;aegyptia;810;321
Homalopsidae;Cerberus;rynchops;460;60.4
Homalopsidae;Enhydris;bocourti;552.5;232.4
Homalopsidae;Enhydris;enhydris;490.5;89.6
Homalopsidae;Enhydris;jagorii;484;245
Homalopsidae;Enhydris;longicauda;465.5;134.2
Homalopsidae;Enhydris;plumbea;389;59.6
Homalopsidae;Enhydris;subtaeniata;537.5;232.2
Homalopsidae;Erpeton;tentaculatum;480;92.9
Homalopsidae;Fordonia;leucobalia;461;68.2
Homalopsidae;Gerarda;prevostiana;365;23.2
Homalopsidae;Homalopsis;buccata;729.7;296.7
Lamprophiidae;Amblyodipsas;polylepis;528.5;81.5
Lamprophiidae;Amblyodipsas;ventrimaculata;295.5;7.4
Lamprophiidae;Aparallactus;capensis;256.3;4.9
Lamprophiidae;Atractaspis;bibronii;467.5;34.3
Lamprophiidae;Atractaspis;engaddensis;616.5;57.5
Lamprophiidae;Atractaspis;irregularis;405;21.2
Lamprophiidae;Atractaspis;microlepidota;677;93.5
Lamprophiidae;Boaedon;fuliginosus;466.5;30.8
Lamprophiidae;Gonionotophis;capensis;627;158.9
Lamprophiidae;Gonionotophis;nyassae;382.94;19.8
Lamprophiidae;Homoroselaps;lacteus;465;21.3
Lamprophiidae;Lycodonomorphus;rufulus;405;33.1
Lamprophiidae;Lycophidion;capense;283.5;10.8
Lamprophiidae;Macrelaps;microlepidotus;650;176.6
Lamprophiidae;Malpolon;monspessulanus;1166;1257
Lamprophiidae;Micrelaps;muelleri;359.3;7.7
Lamprophiidae;Micrelaps;tchernovi;315;3
Lamprophiidae;Pararhadinaea;melanogaster;215.6;2.9
Lamprophiidae;Prosymna;sundevallii;219.7;7.2
Lamprophiidae;Psammophis;aegyptius;720;197.9
Lamprophiidae;Psammophis;brevirostris;648.5;119.05
Lamprophiidae;Psammophis;jallae;614;62.05
Lamprophiidae;Psammophis;leopardinus;703.5;145.15
Lamprophiidae;Psammophis;mossambicus;787;213.95
Lamprophiidae;Psammophis;namibensis;579;50.35
Lamprophiidae;Psammophis;notostictus;488.5;29.8
Lamprophiidae;Psammophis;schokari;623;87
Lamprophiidae;Psammophis;subtaeniatus;598;68.15
Lamprophiidae;Psammophis;trigrammus;647.5;51.25
Lamprophiidae;Psammophis;trinasalis;511.5;41.6
Lamprophiidae;Psammophylax;tritaeniatus;405;29.3
Lamprophiidae;Pseudaspis;cana;950;492.9
Lamprophiidae;Rhagerhis;moilensis;250.2;8.07
Lamprophiidae;Xenocalamus;bicolor;476;27
Lamprophiidae;Xenocalamus;mechowii;588;23.5
Pythonidae;Antaresia;maculosa;1154;530
Pythonidae;Broghammerus;reticulates;3061.3;11769.3
Pythonidae;Morelia;spilota;1587.6;2120.15
Pythonidae;Morelia;viridis;1021;563.2
Pythonidae;Python;regius;1125;1324
Pythonidae;Python;sebae;3370;13250
Scolecophidia;Epictia;albipuncta;144.5;1.4
Scolecophidia;Epictia;tenella;165.7;1.2
Scolecophidia;Leptotyphlops;distanti;143.5;0.57
Scolecophidia;Liotyphlops;ternetzii;207;3
Scolecophidia;Myriopholis;macrorhyncha;232.1;1.38
Scolecophidia;Ramphotyphlops;bicolor;234;10.39
Scolecophidia;Ramphotyphlops;braminus;143.4;0.85
Scolecophidia;Rhinotyphlops;simonii;198.2;0.95
Scolecophidia;Siagonodon;septemstriatus;160;1.5
Scolecophidia;Tetracheilostoma;breuili;99.9;0.61
Scolecophidia;Tetracheilostoma;carlae;93.7;0.6
Scolecophidia;Trilepida;fuliginosa;207.25;4.6
Scolecophidia;Trilepida;macrolepis;279.7;9.5
Scolecophidia;Typhlops;minuisquamus;264;16.5
